"mat_alu","nome","dat_entrada","cod_curso","cotista"
126790,"ERCILIA CARVALHO MANUELA SANTOS - TESTE","2010-05-10",4,"N"
107941,"JEANINY CIARELLY PAIVA SILVA - TESTE","2009-09-05",4,"N"
107970,"LUIS BARROS MACEDO SILVA - TESTE","2009-12-29",13,"N"
102122,"ISABELLE LIBORIO SANTOS - TESTE","2008-03-24",13,"N"
104991,"ANDRE EDUARDO SANTOS - TESTE","2008-08-25",4,"N"
98136,"ANDREA DAMARES NUNES - TESTE","1998-11-14",4,"N"
115888,"GERCINO DEUS NETO - TESTE","2010-04-29",13,"N"
120426,"PRISCILLA JOSE - TESTE","2007-08-25",4,"N"
107843,"RUANA ASSUNCAO JURUBEBA SILVA - TESTE","2010-01-24",35,"N"
107667,"HELENA CLAUDIA SILVA - TESTE","2010-03-05",4,"N"
106317,"THAIS COUTO SANTOS - TESTE","2008-12-03",4,"N"
138734,"NATALIA FERNANDA RABELO - TESTE","2008-06-08",4,"N"
107952,"MARISTELA ANDRADE GOMES","2010-04-21",13,"N"
117668,"ROSYMARE BARROS MENEZES - TESTE","1992-06-19",44,"N"
110316,"HUMBERTO GOMES SILVA - TESTE","2009-11-19",13,"N"
112483,"CRISTIANE CONCEICAO MOTA - TESTE","2009-11-08",44,"N"
106971,"ANA FELIX - TESTE","1999-04-09",123,"N"
150215,"STHEPHANIE DIEGUES PINTO SOUZA - TESTE","2010-01-13",4,"N"
105904,"SHYRLEY ANTONIELLE LEAO SOUSA - TESTE","2010-03-03",13,"N"
106988,"GLEDSON JESUS SOUZA - TESTE","2007-06-17",123,"N"
107781,"LINCOLN JUNIOR PEIXOTO THAMARA - TESTE","2009-07-15",4,"N"
126985,"KARINE JOSE SILVA - TESTE","2008-07-16",4,"N"
137132,"INDIRA CORREIA PEREIRA VIEIRA - TESTE","2010-01-19",4,"N"
104962,"SARAH LEITE","2009-12-26",4,"N"
107181,"BRUNO MAYARA SAID - TESTE","2009-10-07",13,"N"
107184,"LIVIA ADAILTON MENEZES SILVA - TESTE","2007-08-20",44,"N"
104865,"LANIA GRACO SANTOS - TESTE","2009-11-12",13,"N"
121911,"IVANA ALPIANO SAMARA - TESTE","2009-09-05",4,"N"
94376,"GILDO CRAVO NETO - TESTE","2008-07-17",13,"N"
94379,"FELIPE FATIMA SANTOS - TESTE","2008-11-15",13,"N"
104971,"DANIELLE ALMEIDA OLIVEIRA SUZANE - TESTE","2010-06-15",13,"N"
120271,"VICTOR FRANCA NOVA - TESTE","2010-03-14",13,"N"
104912,"LISIANE CARDOSO MIGUEL - TESTE","2010-01-07",4,"N"
104923,"RENAN COSTA OLIVEIRA - TESTE","2010-03-05",4,"N"
104925,"DUILIA FARIAS SILVA - TESTE","2009-09-23",4,"N"
105023,"EDENIA BARROS MOREIRA SOUZA - TESTE","2010-07-20",4,"N"
105096,"ERIKA ANDRADE JESUS SILVA - TESTE","2010-08-18",35,"N"
105049,"VERONICA ALEXANDRE CRISTINA PAULA - TESTE","2008-12-16",4,"N"
105082,"YANNE BONFIM INGRACINDO","2010-06-13",35,"N"
105093,"ALLANA CHIRIFE PACHECO - TESTE","2009-07-21",13,"N"
112548,"MARAIZA CORREIA SOARES - TESTE","2003-05-10",44,"N"
112554,"VALQUIRIA BARROS MONTES SOUZA - TESTE","2009-12-07",44,"N"
137100,"JOCELAINE CERQUEIRA MELO","1999-08-19",13,"N"
111513,"MARIO ABREU JORGE SILVA - TESTE","2005-10-10",123,"N"
112451,"RAIANNE FREITAS SOUZA - TESTE","2010-09-12",44,"N"
104171,"MARCUS GOIS PAIXAO VINICIUS - TESTE","2009-02-15",13,"N"
148438,"MARINA AZEVEDO JOZELINE SILVA - TESTE","2011-01-06",4,"N"
112569,"PEDRO ANDRADE LEONARDO SANTO - TESTE","2007-10-31",35,"N"
150741,"GESSICA CORREA SANTANA - TESTE","2010-06-10",13,"N"
112106,"AYDIL GIACOMET","2002-05-01",4,"N"
104851,"LUAN LEITE SOUZA - TESTE","2009-12-09",13,"N"
104921,"LINCOLN LIMA STUART - TESTE","2009-10-07",52,"N"
107002,"ROBERTO BARROS SANTOS - TESTE","2008-02-27",123,"N"
120137,"LEANE MELO","2009-04-11",13,"N"
128085,"EDSON MOTA SANTOS - TESTE","2006-12-24",52,"N"
107053,"ANNE FELIPE SILVA - TESTE","2009-06-12",123,"N"
107009,"ABILIO MENDONCA","2009-10-10",123,"N"
107864,"JESSICA COSTA KENNED TEIXEIRA - TESTE","2010-08-27",44,"N"
140542,"ESTELA ALMEIDA NOVA SOUZA - TESTE","2009-10-28",4,"N"
138374,"MARCO AURELIO FERREIRA SIQUEIRA - TESTE","2009-10-17",13,"N"
107094,"LICIA FREITAS MORAES SIMERON - TESTE","2010-02-19",13,"N"
107634,"AMILTON GONCALVES NASCIMENTO","2006-08-09",52,"N"
107654,"ALAN ANDRADE MILITAO VIRGINIA - TESTE","2007-09-13",4,"N"
106691,"DENYSE ELIANE SANTOS - TESTE","2010-08-25",4,"N"
159583,"BRUNO ALVES MARTINS SILVA - TESTE","2007-07-28",4,"N"
104793,"SONIA CONSTANCIA MATIAS VIEIRA - TESTE","2010-11-26",13,"N"
104803,"EDUARDO DANTAS SEVERO VINICIUS - TESTE","2010-05-10",13,"N"
104846,"ANA CAROLINE LISBOA SOUZA - TESTE","2010-10-21",13,"N"
137860,"ITACY APARECIDO MAGGIONI ROSA - TESTE","2010-05-24",4,"N"
126587,"AMANDA EDJAIR MATOS SANTOS - TESTE","2009-11-18",13,"N"
114390,"LAISE GOMES NERY - TESTE","2009-08-02",13,"N"
95872,"JOSE CONSUELO NASCIMENTO SOUZA - TESTE","2008-09-22",123,"N"
120113,"SANNY CARLOS SANTOS","2008-05-15",4,"N"
